direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9
CCW,0,015633233765127525716916970799095477877345983585394194130311,012776329785893036118967145479098334781325217074992143965631,011235831459437077415617853819099875279651673033695493257291,197079419417525321567732736510913031691693585789543378374590,010110101011101100011000000111010110101011101100011000000111,015633|130311,012776|965631,1,5,1,1
CCW,1,156332337651275257169169707990954778773459835853941941303110,127763297858930361189671454790983347813252170749921439656310,112358314594370774156178538190998752796516730336954932572910,970794194175253215677327365109130316916935857895433783745901,101101010111011000110000001110101101010111011000110000001110,156332|303110,127763|656310,1,5,1,1
CCW,2,563323376512752571691697079909547787734598358539419413031101,277632978589303611896714547909833478132521707499214396563101,123583145943707741561785381909987527965167303369549325729101,707941941752532156773273651091303169169358578954337837459019,011010101110110001100000011101011010101110110001100000011101,563323|031101,277632|563101,1,5,1,1
CCW,3,633233765127525716916970799095477877345983585394194130311015,776329785893036118967145479098334781325217074992143965631012,235831459437077415617853819099875279651673033695493257291011,079419417525321567732736510913031691693585789543378374590197,110101011101100011000000111010110101011101100011000000111010,633233|311015,776329|631012,1,5,1,1
CCW,4,332337651275257169169707990954778773459835853941941303110156,763297858930361189671454790983347813252170749921439656310127,358314594370774156178538190998752796516730336954932572910112,794194175253215677327365109130316916935857895433783745901970,101010111011000110000001110101101010111011000110000001110101,332337|110156,763297|310127,1,5,1,1
CCW,5,323376512752571691697079909547787734598358539419413031101563,632978589303611896714547909833478132521707499214396563101277,583145943707741561785381909987527965167303369549325729101123,941941752532156773273651091303169169358578954337837459019707,010101110110001100000011101011010101110110001100000011101011,323376|101563,632978|101277,1,5,1,1
CCW,6,233765127525716916970799095477877345983585394194130311015633,329785893036118967145479098334781325217074992143965631012776,831459437077415617853819099875279651673033695493257291011235,419417525321567732736510913031691693585789543378374590197079,101011101100011000000111010110101011101100011000000111010110,233765|015633,329785|012776,1,5,1,1
CCW,7,337651275257169169707990954778773459835853941941303110156332,297858930361189671454790983347813252170749921439656310127763,314594370774156178538190998752796516730336954932572910112358,194175253215677327365109130316916935857895433783745901970794,010111011000110000001110101101010111011000110000001110101101,337651|156332,297858|127763,1,5,1,1
CCW,8,376512752571691697079909547787734598358539419413031101563323,978589303611896714547909833478132521707499214396563101277632,145943707741561785381909987527965167303369549325729101123583,941752532156773273651091303169169358578954337837459019707941,101110110001100000011101011010101110110001100000011101011010,376512|563323,978589|277632,1,5,1,1
CCW,9,765127525716916970799095477877345983585394194130311015633233,785893036118967145479098334781325217074992143965631012776329,459437077415617853819099875279651673033695493257291011235831,417525321567732736510913031691693585789543378374590197079419,011101100011000000111010110101011101100011000000111010110101,765127|633233,785893|776329,1,5,1,1
CCW,10,651275257169169707990954778773459835853941941303110156332337,858930361189671454790983347813252170749921439656310127763297,594370774156178538190998752796516730336954932572910112358314,175253215677327365109130316916935857895433783745901970794194,111011000110000001110101101010111011000110000001110101101010,651275|332337,858930|763297,1,5,1,1
CCW,11,512752571691697079909547787734598358539419413031101563323376,589303611896714547909833478132521707499214396563101277632978,943707741561785381909987527965167303369549325729101123583145,752532156773273651091303169169358578954337837459019707941941,110110001100000011101011010101110110001100000011101011010101,512752|323376,589303|632978,1,5,1,1
CCW,12,127525716916970799095477877345983585394194130311015633233765,893036118967145479098334781325217074992143965631012776329785,437077415617853819099875279651673033695493257291011235831459,525321567732736510913031691693585789543378374590197079419417,101100011000000111010110101011101100011000000111010110101011,127525|233765,893036|329785,1,5,1,1
CCW,13,275257169169707990954778773459835853941941303110156332337651,930361189671454790983347813252170749921439656310127763297858,370774156178538190998752796516730336954932572910112358314594,253215677327365109130316916935857895433783745901970794194175,011000110000001110101101010111011000110000001110101101010111,275257|337651,930361|297858,1,5,1,1
CCW,14,752571691697079909547787734598358539419413031101563323376512,303611896714547909833478132521707499214396563101277632978589,707741561785381909987527965167303369549325729101123583145943,532156773273651091303169169358578954337837459019707941941752,110001100000011101011010101110110001100000011101011010101110,752571|376512,303611|978589,1,5,1,1
CCW,15,525716916970799095477877345983585394194130311015633233765127,036118967145479098334781325217074992143965631012776329785893,077415617853819099875279651673033695493257291011235831459437,321567732736510913031691693585789543378374590197079419417525,100011000000111010110101011101100011000000111010110101011101,525716|765127,036118|785893,1,5,1,1
CCW,16,257169169707990954778773459835853941941303110156332337651275,361189671454790983347813252170749921439656310127763297858930,774156178538190998752796516730336954932572910112358314594370,215677327365109130316916935857895433783745901970794194175253,000110000001110101101010111011000110000001110101101010111011,257169|651275,361189|858930,1,5,1,1
CCW,17,571691697079909547787734598358539419413031101563323376512752,611896714547909833478132521707499214396563101277632978589303,741561785381909987527965167303369549325729101123583145943707,156773273651091303169169358578954337837459019707941941752532,001100000011101011010101110110001100000011101011010101110110,571691|512752,611896|589303,1,5,1,1
CCW,18,716916970799095477877345983585394194130311015633233765127525,118967145479098334781325217074992143965631012776329785893036,415617853819099875279651673033695493257291011235831459437077,567732736510913031691693585789543378374590197079419417525321,011000000111010110101011101100011000000111010110101011101100,716916|127525,118967|893036,1,5,1,1
CCW,19,169169707990954778773459835853941941303110156332337651275257,189671454790983347813252170749921439656310127763297858930361,156178538190998752796516730336954932572910112358314594370774,677327365109130316916935857895433783745901970794194175253215,110000001110101101010111011000110000001110101101010111011000,169169|275257,189671|930361,1,5,1,1
CCW,20,691697079909547787734598358539419413031101563323376512752571,896714547909833478132521707499214396563101277632978589303611,561785381909987527965167303369549325729101123583145943707741,773273651091303169169358578954337837459019707941941752532156,100000011101011010101110110001100000011101011010101110110001,691697|752571,896714|303611,1,5,1,1
CCW,21,916970799095477877345983585394194130311015633233765127525716,967145479098334781325217074992143965631012776329785893036118,617853819099875279651673033695493257291011235831459437077415,732736510913031691693585789543378374590197079419417525321567,000000111010110101011101100011000000111010110101011101100011,916970|525716,967145|036118,1,5,1,1
CCW,22,169707990954778773459835853941941303110156332337651275257169,671454790983347813252170749921439656310127763297858930361189,178538190998752796516730336954932572910112358314594370774156,327365109130316916935857895433783745901970794194175253215677,000001110101101010111011000110000001110101101010111011000110,169707|257169,671454|361189,1,5,1,1
CCW,23,697079909547787734598358539419413031101563323376512752571691,714547909833478132521707499214396563101277632978589303611896,785381909987527965167303369549325729101123583145943707741561,273651091303169169358578954337837459019707941941752532156773,000011101011010101110110001100000011101011010101110110001100,697079|571691,714547|611896,1,5,1,1
CCW,24,970799095477877345983585394194130311015633233765127525716916,145479098334781325217074992143965631012776329785893036118967,853819099875279651673033695493257291011235831459437077415617,736510913031691693585789543378374590197079419417525321567732,000111010110101011101100011000000111010110101011101100011000,970799|716916,145479|118967,1,5,1,1
CCW,25,707990954778773459835853941941303110156332337651275257169169,454790983347813252170749921439656310127763297858930361189671,538190998752796516730336954932572910112358314594370774156178,365109130316916935857895433783745901970794194175253215677327,001110101101010111011000110000001110101101010111011000110000,707990|169169,454790|189671,1,5,1,1
CCW,26,079909547787734598358539419413031101563323376512752571691697,547909833478132521707499214396563101277632978589303611896714,381909987527965167303369549325729101123583145943707741561785,651091303169169358578954337837459019707941941752532156773273,011101011010101110110001100000011101011010101110110001100000,079909|691697,547909|896714,1,5,1,1
CCW,27,799095477877345983585394194130311015633233765127525716916970,479098334781325217074992143965631012776329785893036118967145,819099875279651673033695493257291011235831459437077415617853,510913031691693585789543378374590197079419417525321567732736,111010110101011101100011000000111010110101011101100011000000,799095|916970,479098|967145,1,5,1,1
