direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9
CW,0,113031491493585389543778774590997079619617525721567332336510,012776329785893036118967145479098334781325217074992143965631,011235831459437077415617853819099875279651673033695493257291,197079419417525321567732736510913031691693585789543378374590,110110101101101100000000000110110110101101101100000000000110,113031|336510,012776|965631,1,5,1,1
CW,1,130314914935853895437787745909970796196175257215673323365101,127763297858930361189671454790983347813252170749921439656310,112358314594370774156178538190998752796516730336954932572910,970794194175253215677327365109130316916935857895433783745901,101101011011011000000000001101101101011011011000000000001101,130314|365101,127763|656310,1,5,1,1
CW,2,303149149358538954377877459099707961961752572156733233651011,277632978589303611896714547909833478132521707499214396563101,123583145943707741561785381909987527965167303369549325729101,707941941752532156773273651091303169169358578954337837459019,011010110110110000000000011011011010110110110000000000011011,303149|651011,277632|563101,1,5,1,1
CW,3,031491493585389543778774590997079619617525721567332336510113,776329785893036118967145479098334781325217074992143965631012,235831459437077415617853819099875279651673033695493257291011,079419417525321567732736510913031691693585789543378374590197,110101101101100000000000110110110101101101100000000000110110,031491|510113,776329|631012,1,5,1,1
CW,4,314914935853895437787745909970796196175257215673323365101130,763297858930361189671454790983347813252170749921439656310127,358314594370774156178538190998752796516730336954932572910112,794194175253215677327365109130316916935857895433783745901970,101011011011000000000001101101101011011011000000000001101101,314914|101130,763297|310127,1,5,1,1
CW,5,149149358538954377877459099707961961752572156733233651011303,632978589303611896714547909833478132521707499214396563101277,583145943707741561785381909987527965167303369549325729101123,941941752532156773273651091303169169358578954337837459019707,010110110110000000000011011011010110110110000000000011011011,149149|011303,632978|101277,1,5,1,1
CW,6,491493585389543778774590997079619617525721567332336510113031,329785893036118967145479098334781325217074992143965631012776,831459437077415617853819099875279651673033695493257291011235,419417525321567732736510913031691693585789543378374590197079,101101101100000000000110110110101101101100000000000110110110,491493|113031,329785|012776,1,5,1,1
CW,7,914935853895437787745909970796196175257215673323365101130314,297858930361189671454790983347813252170749921439656310127763,314594370774156178538190998752796516730336954932572910112358,194175253215677327365109130316916935857895433783745901970794,011011011000000000001101101101011011011000000000001101101101,914935|130314,297858|127763,1,5,1,1
CW,8,149358538954377877459099707961961752572156733233651011303149,978589303611896714547909833478132521707499214396563101277632,145943707741561785381909987527965167303369549325729101123583,941752532156773273651091303169169358578954337837459019707941,110110110000000000011011011010110110110000000000011011011010,149358|303149,978589|277632,1,5,1,1
CW,9,493585389543778774590997079619617525721567332336510113031491,785893036118967145479098334781325217074992143965631012776329,459437077415617853819099875279651673033695493257291011235831,417525321567732736510913031691693585789543378374590197079419,101101100000000000110110110101101101100000000000110110110101,493585|031491,785893|776329,1,5,1,1
CW,10,935853895437787745909970796196175257215673323365101130314914,858930361189671454790983347813252170749921439656310127763297,594370774156178538190998752796516730336954932572910112358314,175253215677327365109130316916935857895433783745901970794194,011011000000000001101101101011011011000000000001101101101011,935853|314914,858930|763297,1,5,1,1
CW,11,358538954377877459099707961961752572156733233651011303149149,589303611896714547909833478132521707499214396563101277632978,943707741561785381909987527965167303369549325729101123583145,752532156773273651091303169169358578954337837459019707941941,110110000000000011011011010110110110000000000011011011010110,358538|149149,589303|632978,1,5,1,1
CW,12,585389543778774590997079619617525721567332336510113031491493,893036118967145479098334781325217074992143965631012776329785,437077415617853819099875279651673033695493257291011235831459,525321567732736510913031691693585789543378374590197079419417,101100000000000110110110101101101100000000000110110110101101,585389|491493,893036|329785,1,5,1,1
CW,13,853895437787745909970796196175257215673323365101130314914935,930361189671454790983347813252170749921439656310127763297858,370774156178538190998752796516730336954932572910112358314594,253215677327365109130316916935857895433783745901970794194175,011000000000001101101101011011011000000000001101101101011011,853895|914935,930361|297858,1,5,1,1
CW,14,538954377877459099707961961752572156733233651011303149149358,303611896714547909833478132521707499214396563101277632978589,707741561785381909987527965167303369549325729101123583145943,532156773273651091303169169358578954337837459019707941941752,110000000000011011011010110110110000000000011011011010110110,538954|149358,303611|978589,1,5,1,1
CW,15,389543778774590997079619617525721567332336510113031491493585,036118967145479098334781325217074992143965631012776329785893,077415617853819099875279651673033695493257291011235831459437,321567732736510913031691693585789543378374590197079419417525,100000000000110110110101101101100000000000110110110101101101,389543|493585,036118|785893,1,5,1,1
CW,16,895437787745909970796196175257215673323365101130314914935853,361189671454790983347813252170749921439656310127763297858930,774156178538190998752796516730336954932572910112358314594370,215677327365109130316916935857895433783745901970794194175253,000000000001101101101011011011000000000001101101101011011011,895437|935853,361189|858930,1,5,1,1
CW,17,954377877459099707961961752572156733233651011303149149358538,611896714547909833478132521707499214396563101277632978589303,741561785381909987527965167303369549325729101123583145943707,156773273651091303169169358578954337837459019707941941752532,000000000011011011010110110110000000000011011011010110110110,954377|358538,611896|589303,1,5,1,1
CW,18,543778774590997079619617525721567332336510113031491493585389,118967145479098334781325217074992143965631012776329785893036,415617853819099875279651673033695493257291011235831459437077,567732736510913031691693585789543378374590197079419417525321,000000000110110110101101101100000000000110110110101101101100,543778|585389,118967|893036,1,5,1,1
CW,19,437787745909970796196175257215673323365101130314914935853895,189671454790983347813252170749921439656310127763297858930361,156178538190998752796516730336954932572910112358314594370774,677327365109130316916935857895433783745901970794194175253215,000000001101101101011011011000000000001101101101011011011000,437787|853895,189671|930361,1,5,1,1
CW,20,377877459099707961961752572156733233651011303149149358538954,896714547909833478132521707499214396563101277632978589303611,561785381909987527965167303369549325729101123583145943707741,773273651091303169169358578954337837459019707941941752532156,000000011011011010110110110000000000011011011010110110110000,377877|538954,896714|303611,1,5,1,1
CW,21,778774590997079619617525721567332336510113031491493585389543,967145479098334781325217074992143965631012776329785893036118,617853819099875279651673033695493257291011235831459437077415,732736510913031691693585789543378374590197079419417525321567,000000110110110101101101100000000000110110110101101101100000,778774|389543,967145|036118,1,5,1,1
