direction,tick,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean
CW,0,113031|336510,012776|965631,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,1,130314|365101,127763|656310,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CW,2,303149|651011,277632|563101,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,3,031491|510113,776329|631012,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,4,314914|101130,763297|310127,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CW,5,149149|011303,632978|101277,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,6,491493|113031,329785|012776,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,7,914935|130314,297858|127763,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,8,149358|303149,978589|277632,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,9,493585|031491,785893|776329,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,10,935853|314914,858930|763297,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,11,358538|149149,589303|632978,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,12,585389|491493,893036|329785,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,13,853895|914935,930361|297858,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,14,538954|149358,303611|978589,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,15,389543|493585,036118|785893,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,16,895437|935853,361189|858930,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,17,954377|358538,611896|589303,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,18,543778|585389,118967|893036,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,19,437787|853895,189671|930361,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CW,20,377877|538954,896714|303611,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,21,778774|389543,967145|036118,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,22,787745|895437,671454|361189,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CW,23,877459|954377,714547|611896,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,24,774590|543778,145479|118967,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,25,745909|437787,454790|189671,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CW,26,459099|377877,547909|896714,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,27,590997|778774,479098|967145,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,28,909970|787745,790983|671454,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,29,099707|877459,909833|714547,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,30,997079|774590,098334|145479,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,31,970796|745909,983347|454790,1,5,1,1,29,25,2,55,1.09,2,56,1.07
CW,32,707961|459099,833478|547909,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,33,079619|590997,334781|479098,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,34,796196|909970,347813|790983,1,5,1,1,29,25,2,54,1.11,2,57,1.05
CW,35,961961|099707,478132|909833,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,36,619617|997079,781325|098334,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,37,196175|970796,813252|983347,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,38,961752|707961,132521|833478,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,39,617525|079619,325217|334781,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,40,175257|796196,252170|347813,1,5,1,1,29,25,2,54,1.11,2,56,1.07
CW,41,752572|961961,521707|478132,1,5,1,1,29,25,2,54,1.11,2,56,1.07
