direction,tick,RED60,BLUE60,BLACK60,BLUE60_PG,parity_xor_bits,RED_fingerprint,BLUE_fingerprint,RED_sum_mod9,RED_sum_mod11,BLUE_sum_mod9,BLACK_sum_mod9,RED_prime_mask,BLUE_prime_mask,RED_prime_count,BLUE_prime_count,RED_rle_max,RED_rle_count,RED_rle_mean,BLUE_rle_max,BLUE_rle_count,BLUE_rle_mean,BLACK_gate_viz,parity_gate_viz
CW,0,113031491493585389543778774590997079619617525721567332336510,012776329785893036118967145479098334781325217074992143965631,011235831459437077415617853819099875279651673033695493257291,197079419417525321567732736510913031691693585789543378374590,110110101101101100000000000110110110101101101100000000000110,113031|336510,012776|965631,1,5,1,1,001010000001101100101110110100001010000001111110101111110100,001110110101001010000001001010000110100111101010001001001010,29,25,2,54,1.11,2,56,1.07,·██·····█· | ·········█ | ··█·····█· | ·········· | ·█········ | ·········█,██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██·
CW,1,130314914935853895437787745909970796196175257215673323365101,127763297858930361189671454790983347813252170749921439656310,112358314594370774156178538190998752796516730336954932572910,970794194175253215677327365109130316916935857895433783745901,101101011011011000000000001101101101011011011000000000001101,130314|365101,127763|656310,1,5,1,1,010100000011011001011101101000010100000011111101011111101000,011101101010010100000010010100001101001111010100010010010100,29,25,2,55,1.09,2,56,1.07,██·····█·· | ········█· | ·█·····█·· | ·········· | █········· | ········█·,█·██·█·██· | ██·██····· | ······██·█ | █·██·█·██· | ██·██····· | ······██·█
CW,2,303149149358538954377877459099707961961752572156733233651011,277632978589303611896714547909833478132521707499214396563101,123583145943707741561785381909987527965167303369549325729101,707941941752532156773273651091303169169358578954337837459019,011010110110110000000000011011011010110110110000000000011011,303149|651011,277632|563101,1,5,1,1,101000000110110010111011010000101000000111111010111111010000,111011010100101000000100101000011010011110101000100100101000,29,25,2,54,1.11,2,56,1.07,█·····█··· | ·······█·· | █·····█··· | ·········█ | ·········· | ·······█·█,·██·█·██·█ | █·██······ | ·····██·██ | ·██·█·██·█ | █·██······ | ·····██·██
CW,3,031491493585389543778774590997079619617525721567332336510113,776329785893036118967145479098334781325217074992143965631012,235831459437077415617853819099875279651673033695493257291011,079419417525321567732736510913031691693585789543378374590197,110101101101100000000000110110110101101101100000000000110110,031491|510113,776329|631012,1,5,1,1,010000001101100101110110100001010000001111110101111110100001,110110101001010000001001010000110100111101010001001001010001,29,25,2,54,1.11,2,56,1.07,·····█···· | ······█··█ | ·····█···· | ········█· | ·········· | ······█·██,██·█·██·██ | ·██······· | ····██·██· | ██·█·██·██ | ·██······· | ····██·██·
CW,4,314914935853895437787745909970796196175257215673323365101130,763297858930361189671454790983347813252170749921439656310127,358314594370774156178538190998752796516730336954932572910112,794194175253215677327365109130316916935857895433783745901970,101011011011000000000001101101101011011011000000000001101101,314914|101130,763297|310127,1,5,1,1,100000011011001011101101000010100000011111101011111101000010,101101010010100000010010100001101001111010100010010010100011,29,25,2,54,1.11,2,57,1.05,····█····· | ·····█··█· | ····█····· | ·······█·· | ·········· | ·····█·██·,█·█·██·██· | ██········ | ···██·██·█ | █·█·██·██· | ██········ | ···██·██·█
CW,5,149149358538954377877459099707961961752572156733233651011303,632978589303611896714547909833478132521707499214396563101277,583145943707741561785381909987527965167303369549325729101123,941941752532156773273651091303169169358578954337837459019707,010110110110000000000011011011010110110110000000000011011011,149149|011303,632978|101277,1,5,1,1,000000110110010111011010000101000000111111010111111010000101,011010100101000000100101000011010011110101000100100101000111,29,25,2,54,1.11,2,56,1.07,···█······ | ····█··█·· | ···█······ | ······█··· | ·········· | ····█·██··,·█·██·██·█ | █········· | ··██·██·██ | ·█·██·██·█ | █········· | ··██·██·██
CW,6,491493585389543778774590997079619617525721567332336510113031,329785893036118967145479098334781325217074992143965631012776,831459437077415617853819099875279651673033695493257291011235,419417525321567732736510913031691693585789543378374590197079,101101101100000000000110110110101101101100000000000110110110,491493|113031,329785|012776,1,5,1,1,000001101100101110110100001010000001111110101111110100001010,110101001010000001001010000110100111101010001001001010001110,29,25,2,54,1.11,2,56,1.07,··█······· | ···█··█··· | ··█······· | ·····█···· | ·········· | ···█·██···,█·██·██·██ | ·········· | ·██·██·██· | █·██·██·██ | ·········· | ·██·██·██·
CW,7,914935853895437787745909970796196175257215673323365101130314,297858930361189671454790983347813252170749921439656310127763,314594370774156178538190998752796516730336954932572910112358,194175253215677327365109130316916935857895433783745901970794,011011011000000000001101101101011011011000000000001101101101,914935|130314,297858|127763,1,5,1,1,000011011001011101101000010100000011111101011111101000010100,101010010100000010010100001101001111010100010010010100011101,29,25,2,54,1.11,2,56,1.07,·█········ | ··█··█···· | ·█········ | ····█····· | ·········· | ··█·██····,·██·██·██· | ·········· | ██·██·██·█ | ·██·██·██· | ·········· | ██·██·██·█
CW,8,149358538954377877459099707961961752572156733233651011303149,978589303611896714547909833478132521707499214396563101277632,145943707741561785381909987527965167303369549325729101123583,941752532156773273651091303169169358578954337837459019707941,110110110000000000011011011010110110110000000000011011011010,149358|303149,978589|277632,1,5,1,1,000110110010111011010000101000000111111010111111010000101000,010100101000000100101000011010011110101000100100101000111011,29,25,2,54,1.11,2,56,1.07,█········· | ·█··█····· | █········· | ···█······ | ·········· | ·█·██·····,██·██·██·· | ·········█ | █·██·██·█· | ██·██·██·· | ·········█ | █·██·██·█·
CW,9,493585389543778774590997079619617525721567332336510113031491,785893036118967145479098334781325217074992143965631012776329,459437077415617853819099875279651673033695493257291011235831,417525321567732736510913031691693585789543378374590197079419,101101100000000000110110110101101101100000000000110110110101,493585|031491,785893|776329,1,5,1,1,001101100101110110100001010000001111110101111110100001010000,101001010000001001010000110100111101010001001001010001110110,29,25,2,54,1.11,2,56,1.07,·········· | █··█·····█ | ·········· | ··█······· | ·········· | █·██·····█,█·██·██··· | ········██ | ·██·██·█·█ | █·██·██··· | ········██ | ·██·██·█·█
CW,10,935853895437787745909970796196175257215673323365101130314914,858930361189671454790983347813252170749921439656310127763297,594370774156178538190998752796516730336954932572910112358314,175253215677327365109130316916935857895433783745901970794194,011011000000000001101101101011011011000000000001101101101011,935853|314914,858930|763297,1,5,1,1,011011001011101101000010100000011111101011111101000010100000,010010100000010010100001101001111010100010010010100011101101,29,25,2,54,1.11,2,56,1.07,·········█ | ··█·····█· | ·········· | ·█········ | ·········█ | ·██·····█·,·██·██···· | ·······██· | ██·██·█·██ | ·██·██···· | ·······██· | ██·██·█·██
